DateRange,INVertor Power (MW),SoC
04.01.2024 09:45 - 04.01.2024 10:00,0.00,100.00
04.01.2024 10:00 - 04.01.2024 10:15,0.00,100.00
04.01.2024 10:15 - 04.01.2024 10:30,0.00,100.00
04.01.2024 10:30 - 04.01.2024 10:45,0.00,100.00
04.01.2024 10:45 - 04.01.2024 11:00,0.00,100.00
04.01.2024 11:00 - 04.01.2024 11:15,0.00,100.00
04.01.2024 11:15 - 04.01.2024 11:30,0.00,100.00
04.01.2024 11:30 - 04.01.2024 11:45,0.00,100.00
04.01.2024 11:45 - 04.01.2024 12:00,0.00,100.00
04.01.2024 12:00 - 04.01.2024 12:15,0.00,100.00
04.01.2024 12:15 - 04.01.2024 12:30,0.00,100.00
04.01.2024 12:30 - 04.01.2024 12:45,0.00,100.00
04.01.2024 12:45 - 04.01.2024 13:00,0.00,100.00
04.01.2024 13:00 - 04.01.2024 13:15,0.00,100.00
04.01.2024 13:15 - 04.01.2024 13:30,0.00,100.00
04.01.2024 13:30 - 04.01.2024 13:45,0.00,100.00
04.01.2024 13:45 - 04.01.2024 14:00,0.00,100.00
04.01.2024 14:00 - 04.01.2024 14:15,0.00,100.00
04.01.2024 14:15 - 04.01.2024 14:30,0.00,100.00
04.01.2024 14:30 - 04.01.2024 14:45,0.00,100.00
04.01.2024 14:45 - 04.01.2024 15:00,0.00,100.00
04.01.2024 15:00 - 04.01.2024 15:15,0.00,100.00
04.01.2024 15:15 - 04.01.2024 15:30,0.00,100.00
04.01.2024 15:30 - 04.01.2024 15:45,0.00,100.00
04.01.2024 15:45 - 04.01.2024 16:00,0.00,100.00
04.01.2024 16:00 - 04.01.2024 16:15,0.00,100.00
04.01.2024 16:15 - 04.01.2024 16:30,0.00,100.00
04.01.2024 16:30 - 04.01.2024 16:45,0.00,100.00
04.01.2024 16:45 - 04.01.2024 17:00,0.00,100.00
04.01.2024 17:00 - 04.01.2024 17:15,-23.75,93.75
04.01.2024 17:15 - 04.01.2024 17:30,-23.75,87.50
04.01.2024 17:30 - 04.01.2024 17:45,-23.75,81.25
04.01.2024 17:45 - 04.01.2024 18:00,-23.75,75.00
04.01.2024 18:00 - 04.01.2024 18:15,-23.75,68.75
04.01.2024 18:15 - 04.01.2024 18:30,-23.75,62.50
04.01.2024 18:30 - 04.01.2024 18:45,-23.75,56.25
04.01.2024 18:45 - 04.01.2024 19:00,-23.75,50.00
04.01.2024 19:00 - 04.01.2024 19:15,-23.75,43.75
04.01.2024 19:15 - 04.01.2024 19:30,-23.75,37.50
04.01.2024 19:30 - 04.01.2024 19:45,-23.75,31.25
04.01.2024 19:45 - 04.01.2024 20:00,-23.75,25.00
04.01.2024 20:00 - 04.01.2024 20:15,0.00,25.00
04.01.2024 20:15 - 04.01.2024 20:30,0.00,25.00
04.01.2024 20:30 - 04.01.2024 20:45,0.00,25.00
04.01.2024 20:45 - 04.01.2024 21:00,0.00,25.00
04.01.2024 21:00 - 04.01.2024 21:15,0.00,25.00
04.01.2024 21:15 - 04.01.2024 21:30,0.00,25.00
04.01.2024 21:30 - 04.01.2024 21:45,0.00,25.00
04.01.2024 21:45 - 04.01.2024 22:00,0.00,25.00
04.01.2024 22:00 - 04.01.2024 22:15,0.00,25.00
04.01.2024 22:15 - 04.01.2024 22:30,0.00,25.00
04.01.2024 22:30 - 04.01.2024 22:45,0.00,25.00
04.01.2024 22:45 - 04.01.2024 23:00,0.00,25.00
04.01.2024 23:00 - 04.01.2024 23:15,0.00,25.00
04.01.2024 23:15 - 04.01.2024 23:30,0.00,25.00
04.01.2024 23:30 - 04.01.2024 23:45,0.00,25.00
04.01.2024 23:45 - 05.01.2024 00:00,0.00,25.00
05.01.2024 00:00 - 05.01.2024 00:15,25.00,30.94
05.01.2024 00:15 - 05.01.2024 00:30,25.00,36.88
05.01.2024 00:30 - 05.01.2024 00:45,25.00,42.81
05.01.2024 00:45 - 05.01.2024 01:00,25.00,48.75
05.01.2024 01:00 - 05.01.2024 01:15,25.00,54.69
05.01.2024 01:15 - 05.01.2024 01:30,25.00,60.63
05.01.2024 01:30 - 05.01.2024 01:45,25.00,66.56
05.01.2024 01:45 - 05.01.2024 02:00,25.00,72.50
05.01.2024 02:00 - 05.01.2024 02:15,25.00,78.44
05.01.2024 02:15 - 05.01.2024 02:30,25.00,84.38
05.01.2024 02:30 - 05.01.2024 02:45,25.00,90.31
05.01.2024 02:45 - 05.01.2024 03:00,25.00,96.25
05.01.2024 03:00 - 05.01.2024 03:15,3.95,97.19
05.01.2024 03:15 - 05.01.2024 03:30,3.95,98.13
05.01.2024 03:30 - 05.01.2024 03:45,3.95,99.06
05.01.2024 03:45 - 05.01.2024 04:00,3.95,100.00
05.01.2024 04:00 - 05.01.2024 04:15,0.00,100.00
05.01.2024 04:15 - 05.01.2024 04:30,0.00,100.00
05.01.2024 04:30 - 05.01.2024 04:45,0.00,100.00
05.01.2024 04:45 - 05.01.2024 05:00,0.00,100.00
05.01.2024 05:00 - 05.01.2024 05:15,0.00,100.00
05.01.2024 05:15 - 05.01.2024 05:30,0.00,100.00
05.01.2024 05:30 - 05.01.2024 05:45,0.00,100.00
05.01.2024 05:45 - 05.01.2024 06:00,0.00,100.00
05.01.2024 06:00 - 05.01.2024 06:15,0.00,100.00
05.01.2024 06:15 - 05.01.2024 06:30,0.00,100.00
05.01.2024 06:30 - 05.01.2024 06:45,0.00,100.00
05.01.2024 06:45 - 05.01.2024 07:00,0.00,100.00
05.01.2024 07:00 - 05.01.2024 07:15,-23.75,93.75
05.01.2024 07:15 - 05.01.2024 07:30,-23.75,87.50
05.01.2024 07:30 - 05.01.2024 07:45,-23.75,81.25
05.01.2024 07:45 - 05.01.2024 08:00,-23.75,75.00
05.01.2024 08:00 - 05.01.2024 08:15,-23.75,68.75
05.01.2024 08:15 - 05.01.2024 08:30,-23.75,62.50
05.01.2024 08:30 - 05.01.2024 08:45,-23.75,56.25
05.01.2024 08:45 - 05.01.2024 09:00,-23.75,50.00
05.01.2024 09:00 - 05.01.2024 09:15,0.00,50.00
05.01.2024 09:15 - 05.01.2024 09:30,0.00,50.00
05.01.2024 09:30 - 05.01.2024 09:45,0.00,50.00
05.01.2024 09:45 - 05.01.2024 10:00,0.00,50.00
05.01.2024 10:00 - 05.01.2024 10:15,25.00,55.94
05.01.2024 10:15 - 05.01.2024 10:30,25.00,61.88
05.01.2024 10:30 - 05.01.2024 10:45,25.00,67.81
05.01.2024 10:45 - 05.01.2024 11:00,25.00,73.75
05.01.2024 11:00 - 05.01.2024 11:15,25.00,79.69
05.01.2024 11:15 - 05.01.2024 11:30,25.00,85.63
05.01.2024 11:30 - 05.01.2024 11:45,25.00,91.56
05.01.2024 11:45 - 05.01.2024 12:00,25.00,97.50
